skillId,domain,level,score,maxScore,summaryUnique,whyItWorks,commonMistakes,coachingCues,safetySummary,systemLogic,moneyDetails,fixItFast
back-escape,escapes,intermediate,7.5,9,true,4,4,3,3,array,3,3
compression-vs-strangle-recognition,positional_awareness,intermediate,7.5,10,true,4,4,4,5,array,3,3
dilemmas-two-way-attacks,positional_awareness,intermediate,7.5,9,true,4,4,4,3,array,4,3
failure-response-transitions,positional_awareness,intermediate,7.5,9,true,4,4,4,3,array,3,3
front-headlock-defense,survival_defense,intermediate,7.5,9,true,5,5,4,5,array,4,4
guard-pulling-strategy,positional_awareness,intermediate,7.5,9,true,4,4,4,3,array,3,3
guillotine-defense-escape,escapes,intermediate,7.5,9,true,4,4,3,4,array,3,3
half-guard-bottom-escape,escapes,intermediate,7.5,9,true,4,4,3,3,array,3,3
knee-line-escape,survival_defense,intermediate,7.5,10,true,4,4,4,4,array,3,3
leg-lock-defense,survival_defense,intermediate,7.5,10,true,4,4,4,5,array,3,3
neck-crank-recognition,positional_awareness,intermediate,7.5,10,true,4,4,4,5,array,4,3
north-south-escape,escapes,intermediate,7.5,9,true,4,4,3,3,array,3,3
scramble-control,positional_awareness,advanced,7.5,9,true,4,4,4,4,array,4,3
smother-safety,positional_awareness,advanced,7.5,10,true,4,4,4,4,array,3,3
turtle-escape-standup,escapes,intermediate,7.5,9,true,4,4,3,3,array,3,3
butterfly-guard-off-balance,guard_offense,intermediate,7.5,9,true,4,4,4,3,array,4,3
clamp-guard-control,guard_offense,intermediate,7.5,9,true,4,4,4,3,array,4,3
clamp-to-triangle-bridge,guard_offense,advanced,7.5,9,true,4,4,4,3,array,4,3
closed-guard-sweeps,guard_offense,intermediate,7.5,9,true,4,4,4,3,array,4,3
de-la-riva-sweeps,guard_offense,intermediate,7.5,9,true,5,4,4,3,array,4,3
deep-half-guard,guard_offense,intermediate,7.5,9,true,4,4,4,3,array,4,3
false-reap-entry,guard_offense,advanced,7.5,10,true,4,4,4,3,array,4,3
false-reap-to-saddle-bridge,guard_offense,advanced,7.5,9,true,4,4,4,3,array,4,3
half-butterfly-to-leg-entanglements,guard_offense,advanced,7.5,10,true,4,4,4,3,array,4,3
inverted-guard-control,guard_offense,advanced,7.5,9,true,4,4,4,4,array,4,3
k-guard-entry,guard_offense,advanced,7.5,10,true,4,4,4,3,array,4,3
k-guard-matrix,guard_offense,advanced,7.5,9,true,4,4,4,3,array,4,3
leg-drag-pass,guard_offense,intermediate,7.5,9,true,4,4,4,3,array,4,3
octopus-guard-control,guard_retention,intermediate,7.5,9,true,4,4,4,3,array,4,3
octopus-guard-sweep,guard_offense,intermediate,7.5,9,true,4,4,4,3,array,4,3
reverse-de-la-riva-transitions,guard_offense,intermediate,7.5,9,true,4,4,4,3,array,4,3
shin-to-shin-entry,guard_offense,intermediate,7.5,9,true,4,4,4,3,array,4,3
shoulder-crunch-control,guard_offense,intermediate,7.5,9,true,4,4,4,3,array,4,3
single-leg-x-basics,guard_offense,intermediate,7.5,10,true,4,4,4,3,array,4,3
single-leg-x-control,guard_offense,intermediate,7.5,9,true,4,4,4,3,array,4,3
x-guard-control,guard_offense,intermediate,7.5,9,true,4,4,4,3,array,4,3
z-guard-sweeps,guard_offense,intermediate,7.5,9,true,4,4,4,3,array,4,3
headquarters-passing,passing,intermediate,7.5,9,true,4,4,4,3,array,3,3
hq-split-squat-passing,passing,intermediate,7.5,9,true,4,4,4,3,array,3,3
knee-cut-passing,passing,intermediate,7.5,9,true,4,4,4,3,array,3,3
leg-drag-basics,passing,intermediate,7.5,9,true,4,4,4,3,array,3,3
outside-passing,passing,intermediate,7.5,9,true,4,4,4,3,array,3,3
claw-ride,pins_rides,advanced,7.5,9,true,4,4,4,3,array,3,3
crab-ride,pins_rides,advanced,7.5,9,true,4,4,4,3,array,3,3
cross-wrist-ride,pins_rides,advanced,7.5,9,true,4,4,4,3,array,3,3
crucifix-control,pins_rides,intermediate,7.5,9,true,4,4,4,3,array,3,3
dagestani-handcuff,pins_rides,advanced,7.5,9,true,4,4,4,3,array,3,3
knee-on-belly-control,pins_rides,intermediate,7.5,9,true,4,4,4,3,array,3,3
mat-return-basics,pins_rides,intermediate,7.5,9,true,4,4,4,4,array,3,3
mount-control,pins_rides,intermediate,7.5,9,true,4,4,4,3,array,3,3
north-south-control,pins_rides,intermediate,7.5,9,true,4,4,4,3,array,3,3
power-half-ride,pins_rides,intermediate,7.5,9,true,4,4,4,3,array,3,3
s-mount-control,pins_rides,advanced,7.5,9,true,4,4,4,3,array,3,3
spiral-ride,pins_rides,intermediate,7.5,9,true,4,4,4,3,array,3,3
turtle-ride,pins_rides,intermediate,7.5,9,true,4,4,4,3,array,3,3
wrist-ride-back-exposure,pins_rides,advanced,7.5,9,true,4,4,4,3,array,3,3
anaconda-choke,submission_systems,intermediate,7.5,9,true,4,4,4,3,array,4,3
aoki-lock,submission_systems,advanced,7.5,10,true,4,4,4,3,array,4,3
arm-triangle-mount,submission_systems,advanced,7.5,9,true,4,4,4,3,array,4,3
armbar-system,submission_systems,advanced,7.5,9,true,4,4,4,4,array,4,3
back-attack-system,back_control,intermediate,7.5,9,true,4,4,4,3,array,4,3
back-control,back_control,intermediate,7.5,9,true,4,4,4,3,array,4,3
backside-50-50-control,submission_systems,advanced,7.5,10,true,4,4,4,3,array,4,3
baratoplata,submission_systems,advanced,7.5,9,true,4,4,4,3,array,4,3
bear-trap-ham-sandwich,submission_systems,advanced,7.5,10,true,4,4,4,3,array,4,3
buggy-choke,submission_systems,advanced,7.5,9,true,4,4,4,3,array,4,3
choi-bar,submission_systems,advanced,7.5,9,true,4,4,4,3,array,4,3
darce-choke,submission_systems,intermediate,7.5,9,true,4,4,4,3,array,4,3
de-la-riva-back-take,back_control,advanced,7.5,9,true,4,4,4,3,array,4,3
fhl-go-behind,submission_systems,intermediate,7.5,9,true,4,4,4,3,array,4,3
fifty-fifty-to-heel-exposure,submission_systems,advanced,7.5,10,true,4,4,4,4,array,4,3
gogoplata,submission_systems,advanced,7.5,9,true,4,4,4,4,array,4,3
guillotine-system,submission_systems,advanced,7.5,9,true,4,4,4,3,array,4,3
heel-hook-safety,submission_systems,advanced,7.5,10,true,4,4,4,5,array,4,3
high-wrist-guillotine,submission_systems,advanced,7.5,9,true,4,4,4,3,array,4,3
kimura-system,submission_systems,advanced,7.5,9,true,4,4,4,3,array,4,3
octopus-back-take,back_control,advanced,7.5,9,true,4,4,4,3,array,4,3
omoplata-system,submission_systems,advanced,7.5,9,true,4,4,4,3,array,4,3
rear-triangle-control,back_control,advanced,7.5,9,true,4,4,4,3,array,4,3
reverse-buggy-choke,submission_systems,advanced,7.5,9,true,4,4,4,3,array,4,3
s-mount-armbar,submission_systems,advanced,7.5,9,true,4,4,4,3,array,4,3
saddle-inside-sankaku-control,submission_systems,advanced,7.5,10,true,4,4,4,4,array,4,3
shotgun-ankle-lock,submission_systems,advanced,7.5,10,true,4,4,4,3,array,4,3
straight-ankle-lock-safety,submission_systems,intermediate,7.5,10,true,4,4,4,4,array,4,3
tarikoplata,submission_systems,advanced,7.5,9,true,4,4,4,3,array,4,3
texas-cloverleaf,submission_systems,advanced,7.5,10,true,4,4,4,5,array,4,3
triangle-system,submission_systems,advanced,7.5,9,true,4,4,4,3,array,4,3
truck-twister,submission_systems,advanced,7.5,9,true,4,4,4,5,array,4,3
von-flue-choke,submission_systems,intermediate,7.5,9,true,4,4,4,3,array,4,3
z-lock,submission_systems,advanced,7.5,10,true,5,5,5,4,array,4,3
ankle-pick-low-single,wrestle_up_wrestling,intermediate,7.5,9,true,4,4,4,3,array,3,3
arm-drag-system,wrestle_up_wrestling,intermediate,7.5,9,true,4,4,4,3,array,3,3
body-lock-takedown,wrestle_up_wrestling,intermediate,7.5,9,true,4,4,4,3,array,3,3
dogfight-knee-tap,wrestle_up_wrestling,intermediate,7.5,9,true,4,4,4,3,array,3,3
front-headlock-system,wrestle_up_wrestling,intermediate,7.5,9,true,4,4,4,3,array,3,3
half-guard-wrestle-up,wrestle_up_wrestling,intermediate,7.5,9,true,4,4,4,3,array,3,3
hip-heist-wrestle-up,wrestle_up_wrestling,intermediate,7.5,9,true,4,4,4,3,array,3,3
single-leg-bjj,wrestle_up_wrestling,intermediate,7.5,9,true,4,4,4,3,array,3,3
snapdown-front-headlock,wrestle_up_wrestling,intermediate,7.5,9,true,4,4,4,3,array,3,3
sprawl-go-behind,wrestle_up_wrestling,intermediate,7.5,9,true,4,4,4,3,array,3,3
wrestling-up-from-guard,wrestle_up_wrestling,intermediate,7.5,9,true,4,4,4,3,array,3,3
back-survival,survival_defense,beginner,8,9,true,4,4,3,4,object,3,3
frames-pummeling,positional_awareness,beginner,8,9,true,4,4,3,3,object,3,3
inside-position,positional_awareness,beginner,8,9,true,4,4,4,3,object,3,3
kani-basami-safety,positional_awareness,beginner,8,10,true,4,4,4,4,object,3,3
leg-lock-safety-basics,survival_defense,beginner,8,10,true,4,4,4,5,object,3,3
mount-escape,escapes,beginner,8,9,true,4,4,3,3,object,3,3
mount-survival,survival_defense,beginner,8,9,true,4,4,4,4,object,3,3
positional-hierarchy,positional_awareness,beginner,8,9,true,4,4,4,3,object,4,3
reaping-awareness,positional_awareness,beginner,8,10,true,4,4,4,5,object,3,3
side-control-escape,escapes,beginner,8,9,true,4,4,3,3,object,3,3
side-control-survival,survival_defense,beginner,8,9,true,4,4,4,4,object,4,3
closed-guard-posture-control,guard_offense,beginner,8,9,true,5,4,4,3,object,4,3
half-guard-knee-shield,guard_retention,beginner,8,9,true,4,4,4,3,object,4,3
seated-guard-retention,guard_retention,beginner,8,9,true,4,5,4,3,object,3,3
seated-hand-fighting,guard_retention,beginner,8,9,true,4,4,4,3,object,4,3
supine-guard-retention,guard_retention,beginner,8,9,true,4,4,4,3,object,4,3
bodylock-pass,passing,intermediate,8,9,true,4,5,4,3,object,3,3
side-control-pin,pins_rides,beginner,8,9,true,4,4,4,3,object,3,3
rear-naked-choke-system,submission_systems,intermediate,8,9,true,3,4,4,3,object,3,3
hand-fighting,wrestle_up_wrestling,beginner,8,9,true,4,4,4,3,object,3,3
technical-stand-up,wrestle_up_wrestling,beginner,8,9,true,4,4,4,3,object,3,3
